age_upon_outcome,sex_upon_outcome,animal_type,breed,color
40,1,1,1056,337
7,3,1,861,154
9,2,1,620,154
40,3,1,230,475
40,3,1,987,416
7,2,0,543,136
40,2,1,720,55
40,2,1,720,55
44,2,1,728,215
38,2,1,580,55
14,3,1,398,215
40,2,0,551,91
44,3,1,1156,385
9,1,1,479,38
35,2,1,720,7
40,3,1,719,7
44,2,1,720,475
40,2,0,552,222
44,3,1,262,55
44,3,1,262,55
44,2,1,629,250
42,2,1,629,250
38,2,1,629,250
40,3,1,99,173
38,2,1,901,115
38,2,1,720,55
11,2,0,552,84
38,3,1,923,215
44,0,1,1008,7
9,3,1,456,379
9,3,1,456,379
44,3,1,901,173
42,3,0,544,55
42,2,0,552,149
10,3,1,1157,382
42,2,0,552,297
42,2,1,900,115
40,2,1,488,388
38,3,1,988,475
40,2,1,720,388
40,2,1,720,388
40,2,0,552,55
40,2,1,901,337
9,3,1,876,55
38,2,0,552,467
40,2,1,99,475
35,2,1,720,388
40,3,0,552,391
38,3,0,552,63
38,2,1,590,154
42,2,1,901,388
42,2,0,552,7
44,3,1,720,173
40,2,1,140,416
7,2,1,398,181
44,2,1,116,337
7,2,1,839,356
42,2,1,839,356
38,2,0,552,7
40,2,1,988,434
38,2,1,901,337
42,2,1,1131,117
12,2,1,884,432
7,2,1,901,173
7,2,1,720,7
38,3,1,540,434
44,3,1,988,475
40,3,1,901,432
44,2,1,719,7
44,2,1,719,7
44,2,1,719,7
12,3,0,552,149
44,3,1,900,55
7,3,1,901,388
7,2,1,398,54
44,2,1,398,54
38,3,1,89,475
42,2,1,134,55
35,2,1,923,215
44,3,0,986,185
7,2,0,552,297
9,3,1,64,434
9,3,1,64,434
9,3,1,64,434
38,2,1,934,128
35,2,1,645,55
44,3,1,720,311
44,3,1,720,154
42,3,1,152,416
44,3,1,720,199
38,2,0,552,84
38,3,0,1052,185
38,2,1,729,374
44,3,1,314,7
38,3,1,765,55
35,3,0,544,434
42,2,1,901,7
42,2,1,238,55
38,3,1,353,128
44,3,0,552,7
40,3,1,1009,37
7,2,1,792,432
42,3,1,398,386
40,2,1,957,215
38,3,0,552,7
40,2,1,901,13
10,3,1,398,55
7,2,1,1037,179
15,3,1,398,432
35,3,0,552,84
40,2,1,397,416
42,2,1,370,475
44,0,1,44,55
44,2,0,552,136
44,2,1,590,52
35,3,0,552,136
38,3,1,737,173
10,0,1,270,173
12,3,1,271,117
35,2,1,956,199
44,3,1,900,215
42,3,1,900,215
42,3,1,900,215
42,3,1,900,215
42,3,1,153,416
42,3,1,65,470
42,3,1,900,115
10,3,1,719,481
40,3,0,43,184
7,2,1,628,250
40,3,0,552,136
38,3,1,720,173
38,2,1,440,117
42,2,1,1081,416
38,3,1,111,173
42,2,1,1157,374
7,1,1,1128,58
40,2,1,270,173
38,2,1,792,478
35,3,1,306,55
38,2,0,552,7
38,3,1,901,38
42,2,1,719,7
9,3,1,901,388
7,2,1,398,171
40,3,1,398,117
44,3,1,900,128
22,3,1,839,266
17,3,1,839,266
38,3,1,5,432
38,2,1,1055,173
42,3,0,1052,402
38,2,1,564,416
35,2,1,564,416
40,2,1,153,337
38,2,1,153,337
7,2,1,526,434
35,3,1,488,117
9,3,1,64,100
38,2,0,544,58
7,3,1,1127,311
42,3,1,1127,311
42,3,1,1127,311
10,2,1,720,154
35,3,1,183,161
44,3,0,552,247
44,2,1,819,52
40,2,1,1033,337
